"Name","Regular price","categories","Description","Images","Meta:rarity","Meta:grading_company","Meta:grade"
"Iron Leaves ex (Temporal Forces) PSA 8","32.88","Trading Card Game(TCG)","Real card: Iron Leaves ex from set Temporal Forces (#025). Base market EUR 1; graded value adjusted for PSA 8.","https://assets.tcgdex.net/en/sv/sv05/025/high.webp","Rare","PSA","8"
"Gyarados EX (BREAKpoint) TAG 7","53.33","Trading Card Game(TCG)","Real card: Gyarados EX from set BREAKpoint (#26). Base market EUR 12; graded value adjusted for TAG 7.","https://assets.tcgdex.net/en/xy/xy9/26/high.webp","Ultra rare","TAG","7"
"Thundurus EX (Roaring Skies) CGC 6","32.9","Trading Card Game(TCG)","Real card: Thundurus EX from set Roaring Skies (#26). Base market EUR 2; graded value adjusted for CGC 6.","https://assets.tcgdex.net/en/xy/xy6/26/high.webp","Ultra rare","CGC","6"
"Ampharos EX (Ancient Origins) BECKKET 5","37.2","Trading Card Game(TCG)","Real card: Ampharos EX from set Ancient Origins (#27). Base market EUR 5; graded value adjusted for BECKKET 5.","https://assets.tcgdex.net/en/xy/xy7/27/high.webp","Ultra rare","BECKKET","5"
"Wellspring Mask Ogerpon ex (Prismatic Evolutions) PSA 4","31.21","Trading Card Game(TCG)","Real card: Wellspring Mask Ogerpon ex from set Prismatic Evolutions (#027). Base market EUR 1; graded value adjusted for PSA 4.","https://assets.tcgdex.net/en/sv/sv08.5/027/high.webp","Rare","PSA","4"
"Cinderace ex (Stellar Crown) TAG 10","36.48","Trading Card Game(TCG)","Real card: Cinderace ex from set Stellar Crown (#028). Base market EUR 1; graded value adjusted for TAG 10.","https://assets.tcgdex.net/en/sv/sv07/028/high.webp","Rare","TAG","10"
"Camerupt EX (Primal Clash) CGC 9","33.8","Trading Card Game(TCG)","Real card: Camerupt EX from set Primal Clash (#29). Base market EUR 1; graded value adjusted for CGC 9.","https://assets.tcgdex.net/en/xy/xy5/29/high.webp","Ultra rare","CGC","9"
"Blastoise EX (XY) BECKKET 8","48","Trading Card Game(TCG)","Real card: Blastoise EX from set XY (#29). Base market EUR 6; graded value adjusted for BECKKET 8.","https://assets.tcgdex.net/en/xy/xy1/29/high.webp","Ultra rare","BECKKET","8"
"Blastoise ex (Stellar Crown) PSA 7","38.28","Trading Card Game(TCG)","Real card: Blastoise ex from set Stellar Crown (#030). Base market EUR 4; graded value adjusted for PSA 7.","https://assets.tcgdex.net/en/sv/sv07/030/high.webp","Rare","PSA","7"
"Palkia EX (BREAKpoint) TAG 6","45.66","Trading Card Game(TCG)","Real card: Palkia EX from set BREAKpoint (#31). Base market EUR 10; graded value adjusted for TAG 6.","https://assets.tcgdex.net/en/xy/xy9/31/high.webp","Ultra rare","TAG","6"
"Manaphy EX (BREAKpoint) CGC 5","34.8","Trading Card Game(TCG)","Real card: Manaphy EX from set BREAKpoint (#32). Base market EUR 4; graded value adjusted for CGC 5.","https://assets.tcgdex.net/en/xy/xy9/32/high.webp","Ultra rare","CGC","5"
"Wailord EX (Primal Clash) BECKKET 4","33.78","Trading Card Game(TCG)","Real card: Wailord EX from set Primal Clash (#38). Base market EUR 3; graded value adjusted for BECKKET 4.","https://assets.tcgdex.net/en/xy/xy5/38/high.webp","Ultra rare","BECKKET","4"
"Sylveon ex (Prismatic Evolutions) PSA 10","43.8","Trading Card Game(TCG)","Real card: Sylveon ex from set Prismatic Evolutions (#041). Base market EUR 2; graded value adjusted for PSA 10.","https://assets.tcgdex.net/en/sv/sv08.5/041/high.webp","Rare","PSA","10"
"Tyranitar EX (Ancient Origins) TAG 9","38.21","Trading Card Game(TCG)","Real card: Tyranitar EX from set Ancient Origins (#42). Base market EUR 2; graded value adjusted for TAG 9.","https://assets.tcgdex.net/en/xy/xy7/42/high.webp","Ultra rare","TAG","9"
"Regirock EX (Fates Collide) CGC 8","32.5","Trading Card Game(TCG)","Real card: Regirock EX from set Fates Collide (#43). Base market EUR 1; graded value adjusted for CGC 8.","https://assets.tcgdex.net/en/xy/xy10/43/high.webp","Ultra rare","CGC","8"
"Regirock EX (Fates Collide) BECKKET 7","32.16","Trading Card Game(TCG)","Real card: Regirock EX from set Fates Collide (#43a). Base market EUR 1; graded value adjusted for BECKKET 7.","https://assets.tcgdex.net/en/xy/xy10/43a/high.webp","Rare","BECKKET","7"
"Emolga EX (XY) PSA 6","31.67","Trading Card Game(TCG)","Real card: Emolga EX from set XY (#46). Base market EUR 1; graded value adjusted for PSA 6.","https://assets.tcgdex.net/en/xy/xy1/46/high.webp","Ultra rare","PSA","6"
"Espeon EX (BREAKpoint) TAG 5","53.33","Trading Card Game(TCG)","Real card: Espeon EX from set BREAKpoint (#52). Base market EUR 18; graded value adjusted for TAG 5.","https://assets.tcgdex.net/en/xy/xy9/52/high.webp","Ultra rare","TAG","5"
"Mewtwo EX (Evolutions) CGC 4","32.1","Trading Card Game(TCG)","Real card: Mewtwo EX from set Evolutions (#52). Base market EUR 2; graded value adjusted for CGC 4.","https://assets.tcgdex.net/en/xy/xy12/52/high.webp","Ultra rare","CGC","4"
"Lucario EX (Furious Fists) BECKKET 10","180","Trading Card Game(TCG)","Real card: Lucario EX from set Furious Fists (#54). Base market EUR 25; graded value adjusted for BECKKET 10.","https://assets.tcgdex.net/en/xy/xy3/54/high.webp","Ultra rare","BECKKET","10"
"Kyogre EX (Primal Clash) PSA 9","240.35","Trading Card Game(TCG)","Real card: Kyogre EX from set Primal Clash (#54). Base market EUR 55; graded value adjusted for PSA 9.","https://assets.tcgdex.net/en/xy/xy5/54/high.webp","Ultra rare","PSA","9"
"Zygarde EX (Fates Collide) TAG 8","32.7","Trading Card Game(TCG)","Real card: Zygarde EX from set Fates Collide (#54). Base market EUR 1; graded value adjusted for TAG 8.","https://assets.tcgdex.net/en/xy/xy10/54/high.webp","Ultra rare","TAG","8"
"Zygarde EX (Fates Collide) CGC 7","31.8","Trading Card Game(TCG)","Real card: Zygarde EX from set Fates Collide (#54a). Base market EUR 1; graded value adjusted for CGC 7.","https://assets.tcgdex.net/en/xy/xy10/54a/high.webp","Rare","CGC","7"
"Primal Kyogre EX (Primal Clash) BECKKET 6","40.44","Trading Card Game(TCG)","Real card: Primal Kyogre EX from set Primal Clash (#55). Base market EUR 6; graded value adjusted for BECKKET 6.","https://assets.tcgdex.net/en/xy/xy5/55/high.webp","Ultra rare","BECKKET","6"
