"Name","Regular price","categories","Description","Images","Meta:rarity","Meta:grading_company","Meta:grade"
"Infernape Graded Card TAG 4","954.92","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/392.png","Secret rare","TAG","4"
"Empoleon Graded Card CGC 7","950.99","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/395.png","Ultra rare","CGC","7"
"Torterra Graded Card PSA 4","249.41","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/389.png","Hyper rare","PSA","4"
"Darkrai Graded Card TAG 1","823.67","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/491.png","Secret Ilustration rare","TAG","1"
"Salamence Graded Card TAG 9","922.67","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/373.png","Rare","TAG","9"
"Lapras Graded Card BECKKET 2","497.3","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png","Very rare","BECKKET","2"
"Raichu Graded Card PSA 3","1080","Trading Card Game(TCG)","Collector-focused graded Pokemon card with strong eye appeal.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png","Secret rare","PSA","3"
"Zapdos Graded Card PSA 2","170.97","Trading Card Game(TCG)","Authenticated graded Pokemon card in protective slab.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png","Very rare","PSA","2"
"Articuno Graded Card PSA 7","898.36","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png","Rare","PSA","7"
"Moltres Graded Card TAG 9","361.13","Trading Card Game(TCG)","Professionally graded Pokemon single ideal for premium collections.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png","Secret Ilustration rare","TAG","9"
"Snorlax Graded Card PSA 5","110.84","Trading Card Game(TCG)","Collector-focused graded Pokemon card with strong eye appeal.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png","Secret rare","PSA","5"
"Gyarados Graded Card TAG 10","338.53","Trading Card Game(TCG)","High-demand graded Pokemon card with secure encapsulation.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png","Rare","TAG","10"
